發布時間,類型,個股影響,標題,摘要
2026/06/04 08:59,當下,,6月4日台股中小型公司5月營收速報出爐 54家新納入觀察,台股6月4日將公布一批中小型公司5月營收速報，這次共有54家新增名單，市場將聚焦後續基本面變化與個股表現。
2026/06/04 08:48,當下,"國巨(2327): 8
聯電(2303): 8
可成(2474): 8
宏碁(2353): 8
華碩(2357): 8",國巨、聯電強勢飆漲帶動ETF規模再擴大 可成、宏碁、華碩同步亮燈助攻,國巨與聯電大漲逾一六％，推升台股千億級ETF規模再添新成員；同時，可成、宏碁、華碩等個股也齊步亮燈，強化盤面多頭氣勢。
2026/06/04 08:45,展望,"南亞科(2408): 7
信邦(3023): 7
邁達特(6112): 7",台股盤前聚焦土洋連四買 指數衝破4萬6 5月營收創高股受看好,"台股籌碼面續強，土洋法人連四日聯手買超，帶動加權指數衝破46,400點創高。盤面上重電與證券族群接棒，南亞科、信邦、邁達特等5月營收創近12個月新高的公司，也成為市場關注焦點。"
2026/06/04 08:20,當下,,台股續寫歷史新高 前20大企業市值全面破兆,台股持續刷新高點，市值前20大企業全面站上兆元門檻，市場熱議在這波瘋狂牛市中，投資人該如何順勢操作與控管風險。
2026/06/04 07:28,當下,,油價飆升帶動美股熄火 台指夜盤重挫320點 台股早盤承壓,受國際油價飆升與美股回檔影響，台指期夜盤急跌320點，市場預期台股開盤將面臨明顯修正壓力。
2026/06/04 07:18,當下,,凱基主動型台股ETF布局受關注 不配息產品成市場焦點,凱基投信旗下00407A等主動型台股ETF受到市場關注，除了操作策略外，不配息設計也成為投資人討論焦點。
2026/06/04 07:00,展望,,謝金河看台股不會崩盤 但提醒市場仍有兩大關鍵要留意,財經專家謝金河不認同外界看空台股的說法，認為台股不至於崩盤，但也提醒投資人後續仍要密切注意兩項關鍵風險。
2026/06/04 06:35,當下,,台股4天狂飆2824點衝上4萬6 注意股與處置股同步暴增,台股短短4天大漲2824點，強勢站上4萬6千點，但市場投機氣氛也同步升溫，上市櫃多達99檔個股被列入注意股或處置股，顯示資金熱度與過熱風險並存。
2026/06/04 05:36,展望,,高盛調高台股目標至5.1萬點 看好後市仍有約一成上漲空間,"高盛最新報告上調台股評等為加碼，並將目標指數調升至51,000點，認為台股後市仍有約10%的潛在漲升空間。"
2026/06/04 05:31,當下,,台股連四天創高 累計大漲逾2820點,台股行情持續強勁，連續四個交易日改寫歷史新高，累計漲點已超過2820點，市場多頭氣勢仍然火熱。
2026/06/04 05:10,當下,台積電(2330): 9,黃仁勳喊話助攻 台股與台積電同步創高,輝達執行長黃仁勳釋出利多，持續點燃市場信心，帶動台股大盤與台積電股價雙雙刷新歷史高點。
2026/06/04 04:00,展望,,多頭行情尚未結束 6月台股預期先漲後震盪,市場專家認為台股多頭仍在延續，但6月走勢可能呈現先漲後震盪格局，提醒投資人留意高檔波動與短線操作節奏。
