發布時間,類型,個股影響,標題,摘要
2026/06/15 00:45,當下,AeroVironment(AV): 0,AeroVironment推出可背負式TOM 50 RE無人地面車，用於快速偵察與爆炸物處理,AeroVironment宣布推出TOM 50 RE，這是一款由其全資子公司Telerob開發的緊湊型、可背負式無人地面車(UGV)。該產品主打快速偵察與爆炸物處理任務，顯示公司持續擴充自主系統產品線，強化在國防機器人領域的布局。
2026/06/14 13:35,當下,Cisco Systems(CSCO): 5,思科被列入標普500最佳高股息股名單，摩根士丹利上調目標價,Cisco Systems被列入「標普500最佳高股息股」名單之一。摩根士丹利於6月12日將思科目標價上調至130美元，並維持Overweight評級，理由是推論工作負載增加與CPU使用強度提升，有利於公司後續需求與業務成長。
2026/06/14 06:16,當下,Kratos Defense & Security Solutions(KTOS): 7,Kratos拿下美國政府太空監視合約，受惠SpaceX IPO帶動的國防太空支出,Kratos Defense & Security Solutions獲得美國政府重要合約，將打造下一代太空監視基礎設施，進一步擴大其在美國太空作戰與監控領域的角色。市場同時將其視為未來SpaceX IPO所帶動太空與國防支出的潛在受惠者，提升該公司在國防太空供應鏈中的地位。
2026/06/14 06:15,展望,Vertiv Holdings(VRT): 6,Vertiv年內飆漲173%，AI基建題材是否已反映在股價中,Vertiv股價今年表現強勁，年初至今上漲72.5%，過去12個月更累計上漲173.3%。市場關注這波漲勢是否已充分反映AI資料中心電力與散熱基礎設施的成長題材，後續是否仍具上行空間。
2026/06/14 04:34,當下,AeroVironment(AVAV): 7,AeroVironment投資1500萬美元擴充俄亥俄州先進產能,AeroVironment宣布投資1500萬美元，擴大其在俄亥俄州Greene County附近的先進生產能力，並在Beavercreek與Xenia新增設施，以支援試產與中量產能。此舉顯示公司正積極提升製造基礎，支撐未來成長。
2026/06/14 04:31,當下,Modine Manufacturing(MOD): 8,Modine Manufacturing成為6月熱門買進股，研究機構上調目標價至428美元,GLJ Research於6月1日重申對Modine Manufacturing的Buy評級，並將目標價上調至428美元。研究機構看好公司上修2028年指引、且需求已超出目前產能，認為其成長動能仍然強勁。
2026/06/14 04:30,當下,Ciena(CIEN): 6,Ciena發行25億美元可轉債以強化供應鏈與回饋股東,Ciena於6月9日完成25億美元、0%票息、2031年到期的私募可轉換公司債定價，高於先前宣布的20億美元規模。公司此舉被視為用以提升供應鏈能力並回饋資本結構彈性，市場對其後續財務操作保持關注。
2026/06/14 04:30,當下,Vertiv Holdings(VRT): 5,Vertiv列入6月熱門買進股名單，季度股息再度發放,Vertiv董事會於6月3日核准每股0.0625美元的季度現金股息，預計6月25日發放，6月15日為股東登記日。文章同時指出公司持續展現穩定的股息成長紀錄，並被歸為6月值得留意的熱門買進股之一。
2026/06/14 00:49,當下,Vertiv Holdings(VRT): 4,該不該賣出Vertiv？,文章聚焦Vertiv在多檔知名億萬富翁持股中的地位，並提到Leon Cooperman旗下Omega Advisors視其為重要標的。內容指出Vertiv製造支撐資料中心運作的電力與冷卻系統，隨AI工作負載成長，其角色更加關鍵。
2026/06/13 23:07,當下,Cisco Systems(CSCO): 6,Jim Cramer認為思科還有上漲空間,Jim Cramer在節目中談到Cisco Systems，認為其股價可能還有進一步上行空間。文章同時提到思科過去一年上漲85%、年初至今上漲58%，並引用Bank of America相關評論，凸顯市場對其網通與AI相關需求的關注。
2026/06/13 22:41,當下,Vertiv Holdings(VRT): 5,Vertiv是否仍是值得買進的好股票？,市場提出對Vertiv投資價值的多空辯論，文章引用樂觀論點，指出其在資料中心電力與散熱解決方案中的地位。當前股價約300.57美元，估值偏高，但AI資料中心需求持續成長，使其仍被視為值得評估的成長標的。
2026/06/13 21:03,當下,Ciena(CIEN): 5,Ciena財報品質獲市場關注，雖公布結果不佳但基本面仍有看點,Ciena上週的財報表現令投資人失望，但文章認為其盈餘品質仍有值得注意之處。市場對公司營運狀況與未來展望保持觀察，特別是在近期發債與供應鏈擴張規劃背景下。
2026/06/13 20:12,展望,"Lumentum Holdings(LITE): 8
輝達(NVDA): 6",Lumentum與輝達達成新一輪合作，AI光通訊成長與估值機會受關注,Lumentum宣布與輝達建立新的多年期合作關係，並獲得高達20億美元的承諾支持，合作重點聚焦AI資料中心所需的光通訊技術。公司同時看好近封裝光學(NPO)成為新成長動能，管理層預期相關出貨將於明年顯著提升。
2026/06/13 20:00,展望,Lumentum Holdings(LITE): 4,Lumentum股價大漲後，現在是否適合進場？,文章圍繞Lumentum近期股價顯著上漲後的投資價值展開，討論其是否仍具吸引力。雖未涉及重大新事件，但市場對其後續漲幅與估值位置保持高度關注。
2026/06/13 19:09,展望,Rigetti Computing(RGTI): 9,Rigetti獲CHIPS法案資金支持，量子雲平台上線並擴張國際布局,Rigetti Computing取得最高可達1億美元的CHIPS Act資金協議，並與少數聯邦股權持有安排相連。公司同時在主要量子雲平台推出108量子位的Cepheus 1 108Q系統，且計畫在英國投入高達1億美元以發展未來千量子位級系統，展現積極擴張企圖。
2026/06/13 14:07,展望,AeroVironment(AVAV): 7,AeroVironment與台灣Ubiqconn合作，強化軟體核心與無人機防禦佈局,AeroVironment與台灣Ubiqconn Technology簽署合作備忘錄，將其Tomahawk Common Control Ecosystem與Kinesis任務管理軟體整合至對方強固控制器中，以支援台灣本土無人機系統與防衛現代化。此合作凸顯AeroVironment正加速把AV_Halo軟體堆疊嵌入多供應商無人機艦隊的核心。
2026/06/13 08:45,當下,Red Cat Holdings(RCAT): -4,Red Cat股價下跌,Red Cat股價雖在大盤走高時仍出現回落，但文章未提供更多催化因素或基本面變化，僅反映短線承壓。
2026/06/13 07:15,當下,AeroVironment(AVAV): -5,AeroVironment股價在大盤上漲時下跌,AeroVironment在最新交易日收於170.58美元，較前一交易日下跌7.14%。文章重點在於股價表現落後大盤，顯示市場當下對其短線走勢仍偏保守。
2026/06/13 03:45,當下,Cisco Systems(CSCO): 4,思科股價大漲背後，其AI故事其實早已寫在財報電話會中,文章指出，在思科股價大幅上漲之前，其財報電話會已透露出需求強勁、且市場尚未完全理解的訊號。內容強調該公司的網路設備與AI基礎設施需求之間的連動性，解釋市場為何重新評價其成長前景。
2026/06/13 02:35,展望,,全球量子競賽升溫，各國政府紛紛加碼投入,文章指出，從倫敦到都柏林，各國政府正加速投入量子運算的規模化與商業化，並呼應美國高達20億美元的資金推動。內容反映量子科技正由概念走向政策與產業雙重支持的實際落地階段。
2026/06/15 01:48,展望,,黃金 vs. 標普500：通膨創3年新高，歷史告訴我們誰會勝出？,美國通膨升至3年高點，市場關注黃金是否能持續跑贏標普500大型股。文章從歷史數據檢視，在高通膨環境下貴金屬與美股龍頭的長期表現對比，探討投資人應如何配置避險與成長資產。
2026/06/15 01:35,展望,Nike(NKE): -6,汽油價格居高不下，但這項通膨數據對Nike股價可能更具威脅,Nike正面臨多重通膨壓力，包括居高不下的生產者物價指數(PPI)。汽油價格仍處高檔，但更令人擔憂的是生產端成本上升，將直接侵蝕Nike的毛利率與消費者購買力，對其股價形成雙重壓制。
2026/06/15 01:30,當下,"Tesla(TSLA): 6
Amazon(AMZN): 0",馬斯克身家突破1兆美元，創史上首人,SpaceX創辦人馬斯克成為史上首位淨資產突破1兆美元的人物，財富規模遠超其他富豪。報導提到其財富主要來自特斯拉、SpaceX與xAI等事業，並與亞馬遜創辦人貝佐斯的財富差距形成鮮明對比。
2026/06/15 01:25,當下,"Verizon(VZ): 0
AT&T(T): -3",Verizon 46美元、AT&T 23美元：該買、賣還是持有？,Verizon與AT&T股價都處於區間整理階段，前者略低於52週高點，後者則因評級調降而接近低點。兩家公司皆持續推進光纖建設，投資人需在基本面、估值與成長動能之間做評估。
