發布時間,類型,個股影響,標題,摘要
2026/06/08 12:44,當下,,美國半導體重挫拖累亞股，台股科技權值股承壓測試,美國半導體與科技股近期出現明顯回檔，並受非農數據超預期影響加劇賣壓，進一步衝擊亞洲市場。台股今日開盤後重挫、夜盤也一度狂瀉，半導體與AI族群成為市場殺盤重災區，科技權值股面臨嚴峻壓力測試。
2026/06/08 12:00,展望,,台股急殺後別急著重押！法人教戰ETF配置與避險策略,面對台股急跌與市場劇烈震盪，法人與專家提醒投資人切勿急著All in，而應採取分散配置策略因應。建議以核心、防守、短債與科技衛星等不同類型ETF搭配，並留意後續落底訊號與市場風險控管。
2026/06/08 10:29,當下,,"台股史詩級崩跌2,694點創最大跌點，半導體與融資族群重挫","台股今日開盤遭遇史詩級賣壓，盤中一度崩跌2,694點，創下史上最大單日跌點紀錄，市場恐慌情緒全面升溫。受美股半導體重挫與台指期夜盤大跌拖累，半導體權值股全面下殺，高融資個股也面臨多殺多與斷頭壓力。"
2026/06/08 10:18,展望,,台股陷入多重賣壓，法人：後續落底可觀察四大關鍵指標,台股在美股與半導體族群急跌影響下，市場恐慌情緒擴散，形成多重賣壓。法人指出，後續大盤是否真正落底，仍需持續觀察四大關鍵指標，同時提醒投資人此時應控制風險、避免盲目追價。
2026/06/08 09:30,展望,台積電(2330): 8,台積電領軍半導體第三季拚成長，產能全開帶動供應鏈動能,市場原本看好台積電在下半年產能全開，將持續領軍台灣半導體供應鏈，為第三季營運帶來成長動能。雖然短線受到美股半導體重挫衝擊，但中長線題材仍聚焦在先進製程與產能擴張效益。
2026/06/08 09:28,當下,"華新(1605): -8
聯電(2303): -8",台股急跌引爆融資斷頭警報，華新、聯電等高融資個股遭點名,隨著台股重挫與籌碼面惡化，市場開始擔憂融資維持率偏低的個股出現斷頭潮，其中華新、聯電等熱門股被列入高風險名單。法人提醒，若賣壓持續擴大，這些高融資標的恐進一步承受多殺多壓力。
2026/06/08 08:56,展望,,美股半導體重挫引爆台指期夜盤崩跌，台股開盤壓力升高,受美國半導體與科技股急殺影響，台指期夜盤連番重挫並創下紀錄，市場對台股開盤的波動幅度高度戒備。盤前多篇分析都提醒，週一台股恐面臨史詩級跌勢，投資人應先觀察開盤量能與賣壓是否持續擴大。
2026/06/08 08:33,展望,,全球半導體大幅回檔，市場討論是逢低布局還是接刀風險,全球半導體族群近期劇烈震盪，市場情緒從追高轉為急速降溫。分析師提醒，投資人需分辨這波下跌究竟是估值修正後的買點，還是跌勢尚未結束的接刀風險，操作上宜謹慎評估基本面與籌碼面。
2026/06/08 08:08,展望,,美國半導體與科技股多殺多，週一台股震盪加劇,美國半導體與科技股出現多殺多賣壓，拖累亞洲市場風險情緒升高。市場普遍認為，這波外資與期貨端的壓力，將為週一台股交易增添更多不確定性，尤其科技與半導體族群最受關注。
2026/06/08 06:11,當下,,謝金河點出台日韓成重災區，台股開盤前壓力升溫,財經專家謝金河分析指出，此波全球股市回檔中，台灣、日本與韓國成為受衝擊較深的市場。隨著美國半導體與科技股大幅修正，台股開盤前市場心態轉趨保守，恐慌氛圍持續升高。
