發布時間,類型,個股影響,標題,摘要
2026/06/03 23:00,當下,"LiveOne(LVO): 6
AT&T(T): 5
Cisco(CSCO): 4",LiveOne攜手AT&T擴大次世代車聯網娛樂平台,LiveOne宣布與AT&T及Cisco擴大合作，將透過AT&T Connected Car平台推動次世代車載娛樂體驗。此合作有助汽車OEM更容易部署高階連網娛樂服務，並讓LiveOne取得可擴展的落地機會，覆蓋全美數百萬輛連網車輛。
2026/06/03 22:35,當下,"Coherent(COHR): 8
輝達(NVDA): 3",黃仁勳一句話帶動Coherent受惠於光通訊題材,NVIDIA執行長黃仁勳對光通訊網路的評論，帶動Coherent股價大幅走強。文章指出，真正核心仍是Coherent本身已呈現加速成長，而光通訊作為AI資料中心關鍵基礎設施的需求持續升溫，市場看好其在AI互連升級趨勢中的受益程度。
2026/06/03 22:35,展望,Cisco(CSCO): 3,兩檔成長股值得收藏，另有一檔面臨挑戰,文章以成長股為主題，提醒市場：成長一旦消失，後果可能很嚴重，並以Cisco作為歷史案例切入。整體重點在於挑選仍具成長潛力的標的，同時警惕成長動能衰退所帶來的風險。
2026/06/03 22:35,當下,"Coherent(COHR): 8
輝達(NVDA): 3",黃仁勳談光通訊，Coherent股價應聲上漲,NVIDIA執行長黃仁勳對光通訊網路發表看法後，Coherent股價迅速上揚。市場認為光通訊與光子網路將成為AI晶片、伺服器及機櫃之間傳輸巨量資料的必要基礎設施，Coherent因此站上聚光燈。
2026/06/03 22:10,展望,,受激進股東壓力與AI適配題材推動，三檔軟體股可能年內被併購,文章指出，2026年公開SaaS估值持續壓縮，但私募資金充沛、企業策略整併需求仍強，使具備黏著型企業客戶、AI相關平台與回購或激進股東題材的中型軟體公司，成為最有可能的併購標的。核心重點是軟體M&A熱度回升，市場正重新評價可被收購的公司。
2026/06/03 22:00,當下,"NWN: 7
Cisco(CSCO): 5",NWN躍升Cisco 360夥伴計畫頂級合作夥伴,NWN宣布在Cisco 360 Partner Program中取得六大產品組合全數的Preferred Partner資格，晉升為Cisco國家級頂級合作夥伴。公司也將在Cisco Live與InfoComm 2026展示雙方共同創新，顯示其在AI驅動科技解決方案與安全智慧體驗領域的合作動能持續增強。
2026/06/03 21:45,當下,"LTM: 5
Cisco(CSCO): 3",LTM攜手Cisco推出Managed SSE解決方案,LTM在Cisco Live 2026發表新的Managed Secure Service Edge解決方案，代表其在企業安全架構與服務整合上的新進展。此消息主要反映LTM與Cisco合作深化，對資安與雲端連網服務布局具正面意義。
2026/06/03 21:30,當下,"ePlus(PLUS): 6
Cisco(CSCO): 5
輝達(NVDA): 5",ePlus在Cisco Live展示企業級Agentic AI自動化平台,ePlus宣布展示與Cisco、NVIDIA共同開發的AgenticOps技術，打造可在企業自有環境中安全部署的企業級Agentic AI平台。此平台鎖定IT與資安營運自動化，凸顯Cisco與NVIDIA在企業AI基礎架構中的合作價值，也強化ePlus在AI解決方案市場的定位。
2026/06/03 21:00,當下,Vertiv(VRT): 7,Vertiv推出新型液冷管理服務以降低資料中心用水量,Vertiv發表PurgeRite NearZero液體管理服務，目標是降低資料中心閉環液冷系統在調校過程中的用水、廢水與運輸需求。此舉反映公司持續擴充關鍵數位基礎設施解決方案，並切入資料中心節能與永續管理需求。
2026/06/03 21:00,當下,"NetApp(NTAP): 6
Cisco(CSCO): 6",NetApp與Cisco擴大合作強化企業資安韌性,NetApp與Cisco宣布擴大合作，協助客戶加強防禦縱深策略與企業資安韌性。雙方結合智慧資料基礎架構與進階分析、可觀測性能力，並透過與Splunk的整合，提升對儲存與基礎架構健康狀況的即時可視性，協助企業更快應對營運與安全威脅。
