發布時間,類型,個股影響,標題,摘要
2026/06/04 08:45,展望,"南亞科(2408): 7
信邦(3023): 7
邁達特(6112): 7",台股盤前看多氛圍濃 土洋連四買推升指數創高，月營收亮眼個股受關注,"盤前市場延續偏多氣氛，外資與投信連續四天買超，帶動台股加權指數再創歷史新高、站上46,400點。盤面資金轉向重電與證券族群輪動，同時南亞科、信邦、邁達特等因月營收創12個月新高，成為市場焦點。"
2026/06/04 06:35,當下,,台股4天大漲2824點站上4萬6關卡 注意股與處置股同步暴增,台股短短4天飆漲2824點，強勢站上4萬6千點大關，市場交投也因此急速升溫。隨著波動加劇，上市櫃合計多達99檔個股被列入注意股或處置股，顯示高檔風險同步升高。
2026/06/04 04:00,展望,,專家看台股多頭未結束 6月行情估先漲後震盪,市場專家認為台股多頭行情尚未結束，預期6月仍有上攻空間，但走勢可能呈現先漲、後震盪的格局，並提醒投資人留意期現貨操作節奏。
2026/06/04 01:53,展望,,台股狂飆引末升段疑慮 谷月涵與謝金河齊示警高檔風險,台股持續狂飆之際，寬量國際策略長谷月涵示警市場可能已進入末升段，財經專家謝金河也呼籲投資人留意高檔風險與後續市場警訊。
2026/06/03 18:51,當下,,台股站上4萬6新高 外資續買逾433億元動能強勁,台股指數再創4萬6千點歷史新高，外資持續大舉買超433億元，顯示資金動能仍相當強勁，市場多頭氣氛延續。
2026/06/03 18:00,展望,,"三大利多發酵 6月台股行情挑戰46,000點關卡","在三大利多因素持續發酵下，市場預期6月台股有望續衝46,000點大關，整體盤勢維持偏多格局。"
2026/06/03 17:32,展望,,谷月涵自曝零持股提醒別賺最後一滴水 網友熱議台股後市,寬量國際策略長谷月涵自曝目前台股零持股，並提醒投資人不要賺到最後一滴水，暗示市場可能接近高點，引發網友熱烈討論與反向解讀。
2026/06/03 13:10,當下,國巨(2327): -4,國巨遭分盤處置股價跌逾4% 市場熱議是否逢低承接,國巨因遭列分盤處置，股價應聲下跌逾4%。市場對此熱議是否為進場時機，分析師則認為可採分批試單方式布局。
2026/06/03 12:36,展望,,台股漲勢遭看5萬點行情加持 法人喊多沒有最高只有更高,統一投顧董事長黎方國認為，台股在八大利多加持下仍有續航力，未來挑戰5萬點並非不可能，整體行情仍被看好。
2026/06/03 11:35,當下,,台股大漲投資人情緒兩極 紙上富貴與賣飛焦慮成焦點,台股大漲之際，不少投資人雖帳面獲利亮眼，卻因擔心太早出場而感到焦慮，市場上「紙上富貴」與「賣飛」心態成為熱門話題。
2026/06/03 11:34,展望,,台股超車印度 專家看見特定市況喊加碼,台股市值超越印度股市後，財經專家觀察到特定市場狀況，並建議投資人可考慮適度加碼台股。
