發布時間,類型,個股影響,標題,摘要
2026/06/04 08:43,當下,"閃迪(SNDK): -3
特斯拉(TSLA): -4
谷歌(GOOGL): -3
Meta(META): -3
IREN能源(IREN): -2",道瓊創3月以來最大跌幅 標普與納指終止連漲 美伊衝突升溫,伊朗革命衛隊宣稱攻擊美國海軍第五艦隊位於巴林的總部，使美伊停火談判破局。地緣政治風險急升，道瓊指數創下3月以來最差單日表現，標普500與納斯達克終結連續上漲走勢。市場避險情緒升溫，焦點個股包括SNDK、特斯拉、Google母公司Alphabet、Meta及IREN。
2026/06/04 08:28,當下,Circle(CRCL): -8,金融巨頭聯手推新穩定幣 Circle股價重挫,市場傳出三家、甚至可能四家金融業重量級公司即將聯合推出新的穩定幣，將直接挑戰Circle Internet Group旗下USDC的市場地位，引發投資人對Circle競爭力與市佔率流失的擔憂，導致股價今日大幅下跌。
2026/06/04 15:11,當下,"慧與科技(HPE): 8
戴爾(DELL): 6
超微電腦(SMCI): 5
輝達(NVDA): 4",HPE繳出爆表財報 AI伺服器交易熱度升溫,企業硬體大廠Hewlett Packard Enterprise (HPE)公布創紀錄的季度業績，財報遠超市場預期，推動股價大幅飆升。市場關注AI伺服器需求是否持續加溫，並質疑HPE股價能否守住這波漲勢。AI基礎設施投資熱潮再度成為市場焦點。
2026/06/04 15:06,展望,"英特爾(INTC): 7
鴻海ADR(HNHPF): 6
輝達(NVDA): -2
超微(AMD): -3",鴻海宣布與英特爾戰略合作開發次世代AI基礎設施,全球最大電子代工廠鴻海週四宣布與英特爾達成戰略合作，將共同開發並部署次世代AI基礎設施與智慧運算平台。雙方合作將涵蓋晶片、機櫃、系統到應用層的完整AI解決方案，有助英特爾切入AI伺服器供應鏈，並強化鴻海AI伺服器布局。
2026/06/04 15:00,展望,,【COMPUTEX 2026】仁寶整合量子技術與AI 攜手頂尖學府與藥廠打造生技AI平台,仁寶電子(2324.TW)於COMPUTEX 2026展示量子技術與先進AI的里程碑成果，強調這些前瞻技術為驅動醫療革命的核心。仁寶憑藉其在AI伺服器基礎建設的全球領導地位、與頂尖學術機構的深度合作，以及子公司的策略性醫療服務發展，已建構完整的生醫AI平台，跨足量子運算與健康照護領域。
2026/06/04 14:38,展望,"輝達(NVDA): 7
Meta(META): 7
Sandisk(SNDK): 7",三檔被低估的AI股票值得現在買進,分析師指出，考量基本面與成長動能，輝達、Meta及Sandisk三檔AI相關個股目前估值低於合理水準，是當前值得布局的便宜AI標的。輝達在AI晶片領域龍頭地位穩固，Meta在AI應用與廣告變現上持續突破，Sandisk則受惠於AI驅動的儲存需求成長。
2026/06/04 14:13,當下,Alphabet(GOOGL): -4,英國裁定AI搜尋規範 Alphabet與出版商關係受關注,英國競爭與市場管理局(CMA)要求Google允許出版商選擇退出AI生成搜尋摘要及訓練資料集，並須在AI搜尋結果中提供明確出處標示及連結至出版商內容。此裁定適用於Alphabet英國業務，並要求測試提供出版商更多控制權的新工具。Google正積極發展融合傳統連結與AI功能的搜尋服務，此規範可能影響其AI搜尋商業模式及內容取得方式。
2026/06/04 13:50,當下,"D-Wave Quantum(QBTS): 8
輝達(NVDA): 6
IonQ(IONQ): 5
Rigetti(RGTI): 5",D-Wave Quantum股價低於35美元，現在該買進嗎？,D-Wave Quantum股價飆升，受惠於新一輪政府資金挹注，以及輝達將AI推向量子運算領域的策略佈局。量子運算題材再度成為市場焦點，相關個股獲得資金青睞。
2026/06/04 13:37,展望,"輝達(NVDA): -3
亞馬遜(AMZN): 2
超微(AMD): 2",Cerebras宣布與除輝達外所有AI設備廠商合作,Cerebras Systems計劃與AI資料中心零組件供應商廣泛合作，繼與亞馬遜達成協議後，將進一步擴大夥伴關係版圖，明確排除輝達。此舉凸顯AI晶片市場競爭加劇，Cerebras試圖以開放生態策略挑戰輝達主導地位。
2026/06/04 13:37,展望,蘋果(AAPL): 7,摩根士丹利看好蘋果WWDC前股價有重大上行空間,蘋果即將於6月8日舉行年度全球開發者大會(WWDC)，投資人聚焦於公司能否終於推出市場期待已久的AI驅動Siri。此次主題演講預計展示下一代iOS、iPadOS、macOS和watchOS功能。摩根士丹利對蘋果股價持樂觀態度，認為WWDC前後存在重大上行催化劑。
