發布時間,類型,個股影響,標題,摘要
2026/06/04 07:28,當下,,台股盤前受油價與美股疲弱影響，夜盤急跌，今日開盤恐承壓,受到油價飆升、美股走弱影響，台指期夜盤急挫320點，市場預期台股今日開盤恐面臨沉重賣壓，短線多頭氣氛受到考驗。
2026/06/04 06:35,當下,,台股強勢站上4萬6千點，市場熱度爆表，注意股與處置股名單大增,台股短短4天大漲2824點，指數一舉站上4萬6千點，締造強勢行情。隨著市場交易熱度持續升溫，上市櫃共有99檔股票被列入注意股與處置股，顯示個股波動與交易風險同步升高。
2026/06/04 04:00,展望,,專家看6月台股多頭未結束，預估先漲後震盪，操作重點在節奏,市場專家認為，6月台股仍有多頭延續的空間，但後續可能轉為先漲後震盪格局，建議投資人掌握期現貨操作節奏，留意高檔波動風險。
2026/06/03 22:21,展望,,台股是否進入末升段？謝金河點出後市兩大關鍵變數,面對台股是否已進入末升段的市場疑慮，財信傳媒董事長謝金河指出，後續走勢最重要仍是兩大關鍵因素，將作為判斷台股能否續強的重要指標。
2026/06/03 18:51,當下,,台股創4萬6千點歷史新高，外資持續加碼推升行情,台股今日強勢衝上4萬6千點，創下歷史新高。外資再度買超433億元，持續提供資金動能，也讓市場對多頭續航力抱持樂觀看法。
2026/06/03 18:00,展望,,三大利多發酵，6月台股行情有望續攻4萬6千點,在三大利多因素推動下，市場看好6月台股仍有上攻空間，後市可望挑戰並站穩4萬6千點關卡。
2026/06/03 17:32,展望,,谷月涵零持股發言引發熱議，台股多空情緒再升溫,寬量國際策略長谷月涵自曝目前零持股，並提醒投資人別賺最後一滴水，引發市場對高檔風險與續漲空間的熱烈討論，也讓台股是否仍有上行動能成為焦點。
2026/06/03 14:01,當下,,台股大漲帶來帳面獲利，卻也讓不少投資人陷入賣飛焦慮,台股指數持續飆升，市場上卻有一批投資人因帳面獲利浮現，反而因害怕賣飛而焦慮不安。專家指出，這類看得到獲利卻不敢落袋的人，在這波行情中壓力最大。
2026/06/03 12:36,展望,,黎方國看好台股長線多頭，認為挑戰5萬點不是夢,統一投顧董事長黎方國表示，在八大利多加持下，台股後市仍有強勁支撐，長線來看挑戰5萬點並非不可能，市場上行格局可望延續。
2026/06/03 11:35,當下,,台股大漲引發「賣飛焦慮」討論，投資人心情兩極化,台股強勢上漲之際，部分投資人因害怕太早賣出而錯失後續漲幅，出現明顯心理壓力，也讓市場上對「紙上富貴」與是否該出場的討論越來越熱。
2026/06/03 11:34,展望,,台股表現超越印度，市場樂觀派看好後市續強,台股近期表現超越印度股市，帶動市場對後市情緒轉趨樂觀。專家也因觀察到相關狀況，認為台股仍有持續上攻空間。
2026/06/03 10:15,當下,台積電(2330): 9,台積電開盤創天價領軍，台股一度飆漲逾850點衝向4萬6千4,"台積電開盤即刷新歷史新高，帶動台股大盤強勢飆漲逾850點，指數直逼46,400點關卡，成為推升行情的最重要權值股。"
2026/06/03 10:04,當下,,台股開戶數突破1500萬，年輕族群參與熱度明顯升高,台股開戶總數正式突破1500萬大關，其中0到19歲族群開戶數成長亮眼，顯示台股投資人結構持續年輕化，全民投資熱潮不減。
2026/06/03 09:06,當下,,台股投資年齡分布出現差異，男女熱衷程度各有分水嶺,從開戶數據可見，男性與女性投資台股的熱衷度在不同年齡層呈現差異，反映出投資參與與理財規劃在各人生階段的不同特性。
2026/06/03 08:51,展望,"台積電(2330): 6
富世達(6805): 7
旺宏(2337): 6
藥華藥(6446): 7",COMPUTEX題材持續發酵，台積電與伺服器族群受惠，盤面聚焦業績與法人買超股,COMPUTEX持續為台積電與伺服器代工題材加溫，但櫃買市場也出現劇烈洗盤。市場焦點轉向業績表現佳、又獲法人青睞的個股，包括富世達、旺宏與藥華藥等。
2026/06/02 23:24,展望,,外資台股市值持股逼近50%，市場關注是否邁向外資過半時代,外資持有台股市值占比已達49.99%，幾乎站上半數大關，後市是否進入外資過半的新時代，成為市場高度關注的焦點。
2026/06/02 23:06,當下,,台股大盤強漲，網紅對帳單曝單一持股慘跌32%引熱議,在台股大盤持續上漲的背景下，網紅巴逆逆曬出對帳單，顯示其中一檔持股重挫32%，引發網友對個股操作失利的熱烈討論。
2026/06/02 22:36,當下,,台股狂飆帶動證交稅暴增，普發現金議題再受關注,台股強勢上漲讓證券交易稅收明顯增加，相關數據曝光後，也讓市場重新討論超徵稅收下普發現金是否可能成為常態。
2026/06/02 12:58,展望,,台股衝破4萬5千點，中經院示警過熱與回檔風險,台股強勢衝破45000點歷史新高後，中經院提醒指數漲勢過快，後續仍有回檔修正風險，市場高檔震盪疑慮升溫。
2026/06/02 11:52,展望,,台股攻上4萬5千點，中經院長示警漲速過快、修正恐加劇,中經院院長認為台股近期漲幅過快，並提醒市場仍有潛在隱憂，若進入整理，未來修正幅度可能比想像中更大。
2026/06/05 08:53,展望,"群創(3481): -2
友達(2409): -2
彩晶(6116): -2",面板低價股強勢補漲，專家提醒高檔追價風險升高,群創、友達、彩晶等面板低價股近期連番走強，甚至出現漲停表現。不過專家提醒，在台股高檔之際，這類低價股補漲帶有明顯投機性，追價仍需留意風險。
2026/06/05 08:45,當下,台積電(2330): 8,台股市值超車印度引發海外關注，台積電成關鍵推手,台灣股市市值超越印度後，引發印度媒體與菁英高度關注，分析認為台積電的強勢表現是推升台股市值超車的重要關鍵。
2026/06/05 08:31,當下,"日月光投控(3711): -7
聯電(2303): -7",費半下跌拖累台股ADR，日月光與聯電ADR同步重挫,台股ADR整體雖上漲1.8%，但受費城半導體指數大跌影響，日月光投控與聯電ADR同步走弱，成為盤面壓力來源。
2026/06/05 08:10,展望,"聯發科(2454): 7
台積電(2330): 1",外資加碼名單曝光，聯發科入列，台積電也續獲青睞,外資在台積電與SK海力士持股接近滿倉後，開始尋找新標的，最新加碼名單中聯發科等台股個股入列，顯示相關族群仍可能持續吸引資金。
2026/06/05 08:06,展望,,台股創高後估值爭論升溫，AI重估與泡沫疑慮並存,台股衝上4萬多點創新高後，市場開始辯論這波漲勢究竟是AI題材帶動的合理價值重估，還是已接近泡沫化階段，後市分歧明顯。
2026/06/05 08:00,展望,,千金股漲勢趨緩，市場資金輪動下一站受關注,分析師指出，隨著千金股漲勢放緩，台股資金輪動加速，市場開始尋找下一波可能接棒的主流族群。
2026/06/05 08:00,展望,台積電(2330): 7,台股出現兩大出場警訊，達人建議可留意台積電反手布局,達人針對台股後市點出兩大出場訊號，提醒投資人留意高檔風險；若採反手策略，則可關注台積電，等待6月18日前後的行情變化。
2026/06/05 07:27,展望,,博通重挫拖累費半，台股盤前拚止跌反攻,美股因博通大跌而拖累費半指數走弱，但台指期夜盤仍逆勢上漲，台股今日盤前有機會嘗試止跌回穩。
2026/06/05 07:20,展望,,科技股罕見警訊浮現，市場預期將進入大規模輪動,傳奇策略師提醒，科技股已出現2020年以來少見的警訊，可能意味著資金將從科技族群撤出，並轉向其他板塊展開大規模輪動。
2026/06/05 06:25,當下,,外資單日狂賣台股756億元，AI與金融股成提款重心,外資在台股大舉撤退，單日賣超756億元，AI概念股與部分金融股成為主要被調節的對象，市場賣壓明顯升溫。
2026/06/05 06:14,當下,,台股主動型ETF規模持續成長，不配息回測數據受關注,台股主動型ETF市場規模持續擴大，最新曝光的不配息回測數據也提供投資人作為績效參考，有助於比較不同ETF策略的表現。
2026/06/05 06:10,展望,"台積電(2330): 9
鴻海(2317): 8",台積電營運展望超樂觀，鴻海攜手英特爾加碼AI應用,台積電高層釋出極度正面的營運展望，並喊話股東持續加碼持股；同時鴻海也宣布深化與英特爾合作，推動三大AI應用，為市場增添新一波成長想像。
2026/06/05 04:12,當下,,外資大賣引發電子股疲弱，法人仍認為多頭均線未破壞,台股遭遇外資大舉賣超後，電子股走勢明顯轉弱，但法人認為目前大盤多頭均線架構仍未遭破壞，此波拉回屬於健康修正。
2026/06/05 04:09,當下,,台股成交熱度不減，日均量連25天突破1兆元,台股市場交投持續火熱，已連續25個交易日日均成交金額超過1兆元，顯示資金活絡與市場參與度仍居高不下。
2026/06/05 04:07,當下,,FundDJ基智網基金資訊頁,此為基金資訊平台頁面，非台股即時新聞內容。
2026/06/05 04:00,展望,,台股高檔整理壓力浮現，短線操作建議逢高減碼,台股因波段漲幅過大，市場進入高檔整理階段，分析建議短線投資人可適度逢高減碼，以降低後續回檔風險。
2026/06/05 04:00,當下,,台股ETF除息熱潮啟動，市場聚焦配息題材,台股ETF除息行情正式展開，配息題材成為盤面焦點，吸引資金持續關注相關標的。
2026/06/05 04:00,當下,,高檔震盪下國家隊進場，台股ETF成護盤主力,台股維持高檔震盪格局之際，市場傳出國家隊大舉買進台股ETF進行護盤，藉此穩定盤勢。
2026/06/05 04:00,當下,,5月大牛市帶動台股基金績效齊揚,受惠於5月台股強勢走多，台股基金整體績效表現亮眼，成為這波牛市的受益者之一。
2026/06/05 04:00,當下,,市值型台股ETF表現強勁，6檔標的領軍上攻,報導指出，多檔台股市值型ETF近期表現亮眼，6檔重要標的領先市場上攻，持續吸引資金進駐。
2026/06/05 04:00,當下,,高殖利率股成台股搶息焦點，資金追逐熱度升高,台股市場掀起搶息潮，高殖利率概念股因配息吸引力高而成為資金追逐焦點，盤面表現相對強勢。
2026/06/05 01:06,當下,,台股站上4萬6千點後過熱疑慮升高，ETF持有人該怎麼辦？,台股大盤衝上4萬6千點，市場開始擔心指標是否過熱。專家針對剛進場投資人與高股息ETF持有人提出操作建議，提醒別因高檔震盪而頻繁換股。
2026/06/04 22:17,當下,台積電(2330): -8,台股重挫781點，台積電下跌40元拖累大盤,台股今日遭遇強烈賣壓，終場重挫781點，權值股台積電同步下跌40元，成為拖累大盤的主要來源。
2026/06/04 19:59,當下,,台股大漲之際，散戶「死亡筆記本」慘賠曝光引發熱議,在台股氣勢如虹之際，有散戶公開自己的慘賠持股明細，引發網路熱議，也讓市場再度聚焦一般投資人在大漲行情中的操作困境。
2026/06/04 19:53,當下,台積電(2330): -1,三星搶單台積電恐慌升溫，分析師澄清別急著清倉,市場一度傳出三星搶單台積電恐影響台股走勢，引發投資人擔憂；不過分析師隨即指出真正情況並不如市場想像嚴重，呼籲投資人無需急著將持股清空。
2026/06/04 19:20,當下,,台股失守4萬6關卡，外資大賣756億元加重盤勢壓力,台股盤中大跌失守4萬6千點，外資同步大舉賣超756億元，並集中調節金融股，使市場賣壓持續升高。
2026/06/04 19:17,當下,,權值股倒地，台股收盤重挫781點，多方轉向重電族群,台股今日收盤重挫781點，權值股全面承壓，市場資金則轉向重電族群避險，顯示盤面結構出現明顯輪動。
2026/06/04 19:08,當下,群益臺灣加權正2(00685L): 2,台股正2 ETF宣布拆股，00685L投資門檻大降,群益臺灣加權正2（00685L）宣布將進行股票分割，單張投資門檻預計大幅下降，相關買賣熱度也隨之升高，6月30日前為分割前最後交易日。
2026/06/04 19:00,當下,金居(8358): -4,台股處置股名單更新，PCB銅箔金居遭列管至6月18日,證交所公布最新注意與處置名單，PCB銅箔廠金居因漲幅過大等因素，自明日起列入處置股，處置期間至6月18日止。
